zipcode,city,county,mean,std,min,max,rank
92364,Nipton,San Bernardino,1510.121212121212,939.6166690988857,40,4193,1
92332,Essex,San Bernardino,1389.2727272727273,807.8823503737748,60,3996,2
93634,Big Creek CDP,Fresno County,1213.2727272727273,600.2821353709058,144,2748,3
92277,Twentynine Palms city,San Bernardino County,1178.3235294117646,864.3492111545711,1,4025,4
93514,"Mesa CDP, Round Valley CDP, Bishop city, Swall Meadows CDP, Benton CDP, Chalfant CDP, Big Pine CDP, Paradise CDP, Wilkerson CDP, West Bishop CDP, Dixon Lane-Meadow Creek CDP","Inyo County, Mono County",782.8181818181819,389.698477555521,149,1742,5
93517,Bridgeport CDP,Mono County,714.1212121212121,346.80071344863876,116,1400,6
92257,"Niland CDP, Bombay Beach CDP",Imperial County,593.1818181818181,461.00443697332344,64,1781,7
92283,Winterhaven CDP,Imperial County,592.5,462.51671550465306,1,2150,8
92225,"Blythe city, Ripley CDP, Mesa Verde CDP",Riverside County,508.3939393939394,332.51521951953,18,1243,9
92356,Lucerne Valley CDP,San Bernardino County,501.57575757575756,458.63609146461573,24,2456,10
93513,Big Pine CDP,Inyo County,486.2121212121212,264.8931102321932,94,1367,11
92363,Needles city,San Bernardino County,401.0,301.4165514698886,36,1270,12
93527,"Pearsonville CDP, China Lake Acres CDP, Inyokern CDP, Kennedy Meadows CDP","Inyo County, Kern County, Tulare County",399.1515151515151,256.8019812535674,54,988,13
92328,Furnace Creek CDP,Inyo County,386.030303030303,333.3742721072373,3,1726,14
96101,"Daphnedale Park CDP, Alturas city, California Pines CDP",Modoc County,385.72727272727275,264.9687803222383,49,955,15
92266,Palo Verde CDP,Imperial County,381.5151515151515,293.9252797493907,22,1368,16
92338,Ludlow,San Bernardino,371.0882352941176,345.66373286914825,1,1724,17
92004,Borrego Springs CDP,San Diego County,368.8181818181818,391.6724121113088,29,1472,18
95364,Pinecrest,Tuolumne,345.5151515151515,254.55391388811444,54,1265,19
96058,"Macdoel CDP, Dorris city, Mount Hebron CDP, Tennant CDP",Siskiyou County,342.030303030303,202.5108769993116,8,672,20
96130,"Johnstonville CDP, Susanville city, Spaulding CDP",Lassen County,335.3333333333333,218.9225985746256,31,798,21
96132,Termo,Lassen,292.6363636363636,199.0626186313333,24,752,22
