zipcode,city,county,year,count_lightning
90027,Los Angeles city,Los Angeles County,1987,6
90027,Los Angeles city,Los Angeles County,1988,7
90027,Los Angeles city,Los Angeles County,1990,6
90027,Los Angeles city,Los Angeles County,1991,4
90027,Los Angeles city,Los Angeles County,1992,3
90027,Los Angeles city,Los Angeles County,1993,6
90027,Los Angeles city,Los Angeles County,1994,5
90027,Los Angeles city,Los Angeles County,1995,2
90027,Los Angeles city,Los Angeles County,1997,3
90027,Los Angeles city,Los Angeles County,1999,13
90027,Los Angeles city,Los Angeles County,2000,8
90027,Los Angeles city,Los Angeles County,2001,2
90027,Los Angeles city,Los Angeles County,2002,2
90027,Los Angeles city,Los Angeles County,2003,2
90027,Los Angeles city,Los Angeles County,2004,1
90027,Los Angeles city,Los Angeles County,2005,35
90027,Los Angeles city,Los Angeles County,2006,3
90027,Los Angeles city,Los Angeles County,2007,1
90027,Los Angeles city,Los Angeles County,2010,5
90027,Los Angeles city,Los Angeles County,2011,2
90027,Los Angeles city,Los Angeles County,2012,3
90027,Los Angeles city,Los Angeles County,2015,27
90027,Los Angeles city,Los Angeles County,2016,6
90027,Los Angeles city,Los Angeles County,2017,3
90027,Los Angeles city,Los Angeles County,2018,2
90027,Los Angeles city,Los Angeles County,2020,3
90037,Los Angeles city,Los Angeles County,1987,5
90037,Los Angeles city,Los Angeles County,1988,6
90037,Los Angeles city,Los Angeles County,1990,13
90037,Los Angeles city,Los Angeles County,1992,16
90037,Los Angeles city,Los Angeles County,1993,13
90037,Los Angeles city,Los Angeles County,1994,11
90037,Los Angeles city,Los Angeles County,1995,1
90037,Los Angeles city,Los Angeles County,1997,3
90037,Los Angeles city,Los Angeles County,1998,1
90037,Los Angeles city,Los Angeles County,1999,3
90037,Los Angeles city,Los Angeles County,2000,3
90037,Los Angeles city,Los Angeles County,2001,5
90037,Los Angeles city,Los Angeles County,2002,10
90037,Los Angeles city,Los Angeles County,2003,40
90037,Los Angeles city,Los Angeles County,2004,5
90037,Los Angeles city,Los Angeles County,2005,24
90037,Los Angeles city,Los Angeles County,2006,2
90037,Los Angeles city,Los Angeles County,2009,5
90037,Los Angeles city,Los Angeles County,2010,5
90037,Los Angeles city,Los Angeles County,2011,2
90037,Los Angeles city,Los Angeles County,2012,5
90037,Los Angeles city,Los Angeles County,2014,6
90037,Los Angeles city,Los Angeles County,2015,16
90037,Los Angeles city,Los Angeles County,2016,2
90037,Los Angeles city,Los Angeles County,2017,3
90037,Los Angeles city,Los Angeles County,2018,1
90037,Los Angeles city,Los Angeles County,2020,5
90042,"Los Angeles city, South Pasadena city, Pasadena city",Los Angeles County,1987,9
90042,"Los Angeles city, South Pasadena city, Pasadena city",Los Angeles County,1988,5
90042,"Los Angeles city, South Pasadena city, Pasadena city",Los Angeles County,1990,9
90042,"Los Angeles city, South Pasadena city, Pasadena city",Los Angeles County,1991,1
90042,"Los Angeles city, South Pasadena city, Pasadena city",Los Angeles County,1992,7
90042,"Los Angeles city, South Pasadena city, Pasadena city",Los Angeles County,1993,3
90042,"Los Angeles city, South Pasadena city, Pasadena city",Los Angeles County,1994,8
90042,"Los Angeles city, South Pasadena city, Pasadena city",Los Angeles County,1995,1
90042,"Los Angeles city, South Pasadena city, Pasadena city",Los Angeles County,1998,3
90042,"Los Angeles city, South Pasadena city, Pasadena city",Los Angeles County,1999,4
90042,"Los Angeles city, South Pasadena city, Pasadena city",Los Angeles County,2000,7
90042,"Los Angeles city, South Pasadena city, Pasadena city",Los Angeles County,2001,1
90042,"Los Angeles city, South Pasadena city, Pasadena city",Los Angeles County,2003,13
