zipcode,date,count_lightning
90027,1987-09-24,1
90027,1987-11-04,2
90027,1987-11-05,2
90027,1987-12-29,1
90027,1988-04-21,5
90027,1988-07-31,1
90027,1988-08-24,1
90027,1990-08-06,4
90027,1990-08-07,2
90027,1991-07-31,4
90027,1992-02-13,1
90027,1992-03-20,2
90027,1993-01-31,3
90027,1993-02-15,2
90027,1993-02-19,1
90027,1994-03-08,5
90027,1995-03-11,1
90027,1995-04-16,1
90027,1997-01-15,3
90027,1999-07-12,13
90027,2000-03-04,5
90027,2000-03-05,1
90027,2000-04-18,1
90027,2000-09-08,1
90027,2001-02-14,1
90027,2001-12-10,1
90027,2002-03-18,1
90027,2002-11-30,1
90027,2003-03-15,1
90027,2003-11-13,1
90027,2004-12-29,1
90027,2005-01-04,3
90027,2005-02-18,2
90027,2005-02-19,3
90027,2005-02-21,5
90027,2005-07-20,1
90027,2005-07-24,1
90027,2005-09-20,5
90027,2005-10-17,15
90027,2006-03-11,1
90027,2006-04-27,1
90027,2006-09-02,1
90027,2007-04-15,1
90027,2010-01-19,1
90027,2010-02-06,2
90027,2010-02-09,2
90027,2011-03-20,1
90027,2011-09-13,1
90027,2012-10-11,3
90027,2015-01-30,2
90027,2015-05-15,4
90027,2015-07-18,21
90027,2016-03-07,4
90027,2016-10-24,2
90027,2017-01-09,1
90027,2017-09-01,2
90027,2018-07-18,1
90027,2018-11-30,1
90027,2020-02-22,1
90027,2020-12-28,2
90037,1987-09-22,1
90037,1987-10-22,1
90037,1987-11-05,2
90037,1987-12-29,1
90037,1988-04-21,4
90037,1988-04-23,2
90037,1990-08-07,13
90037,1992-02-13,3
90037,1992-03-20,1
90037,1992-04-01,12
90037,1993-01-18,1
90037,1993-01-31,9
90037,1993-02-08,1
90037,1993-02-18,1
90037,1993-02-20,1
90037,1994-03-07,1
90037,1994-03-08,10
90037,1995-03-12,1
90037,1997-12-18,3
90037,1998-05-13,1
90037,1999-04-07,3
90037,2000-02-21,2
90037,2000-03-04,1
90037,2001-02-14,3
90037,2001-07-04,1
90037,2001-12-10,1
90037,2002-03-18,1
90037,2002-11-30,9
90037,2003-11-12,12
90037,2003-11-13,28
90037,2004-12-29,5
90037,2005-01-09,1
90037,2005-02-19,5
90037,2005-02-21,4
90037,2005-02-22,1
